K_L,K_S,K_L_sd,K_S_sd,noise_L,noise_S,subjid
-1.93578373071018,10.0879785411599,0.284490408677715,0.315279304794455,0.185734002246349,0.148029161064834,247
-2.59309436888526,9.05038714324904,0.107146362162739,0.137797735257065,-0.531827320924616,-0.56953216210613,274
-1.43775385340889,9.97849001660342,0.300021265795057,0.326983304242151,0.0477891480338869,0.0100843068523727,280
-2.44776109131761,9.309799088252,0.174703261100198,0.214058490816298,-0.00238509307828607,-0.0400899342598003,287
-2.30391527293245,9.02504290617988,0.165618488564049,0.193699061263858,-0.314985956702051,-0.352690797883565,311
-1.35526518489946,9.47761068823491,0.29108657302471,0.320860624278295,0.138997678697952,0.101292837516438,354
-2.71199274119941,8.865103925937,0.120450734198504,0.159772601364259,-0.275973411989035,-0.313678253170549,357
-4.39187126074057,8.55991909202185,0.115780687218139,0.159406678256256,-0.239899208951601,-0.277604050133115,358
-1.86939948264283,8.56296893109505,0.272097670120454,0.311119013936088,-0.0564679998496277,-0.0941728410311419,359
-3.53499818857608,8.76060659170975,0.124004212650157,0.179046234031934,0.0167537004295364,-0.0209511407519778,360
-2.56990400530614,9.83902000810245,0.145942658833883,0.187395384608856,-0.115238515100744,-0.152943356282258,361
-2.77915181790721,8.4982695312285,0.117219150489962,0.165073213137239,-0.355764285448899,-0.393469126630414,362
-3.54666961489608,9.17569013547293,0.0883865093231821,0.123178855773108,-0.511572971133877,-0.549277812315391,363
-3.42536625449426,8.76412754766813,0.122572421199561,0.174790159529709,-0.255898887162603,-0.293603728344117,364
-2.68541301047109,9.37007890816564,0.0955173247800241,0.121840088127597,-0.715629159081484,-0.753334000262998,365
-4.91701185929671,8.60886509757322,0.184833503363556,0.207970685676378,-0.19930911163793,-0.237013952819445,366
-2.62892857196009,9.65742864839269,0.107915381759112,0.138416112516819,-0.496980711794968,-0.534685552976483,367
-3.92259504090651,7.66711481402457,0.0794168990499576,0.224257165423645,-0.544782584772615,-0.582487425954129,368
-3.96488758488602,8.69534038395376,0.0960442782088686,0.14821757112732,-0.302910180510559,-0.340615021692073,369
-7.20746201826407,5.98621819190727,0.941491100893066,1.01239693202575,-0.123161223929055,-0.160866065110569,371
